model = BaggingRegressor(n_estimators=q)
q c a smape
11 2 3 0.408808081237
11 2 4 0.433029477575
11 2 5 0.422706937767
11 2 6 0.483635649751
11 2 7 0.468100927604
11 2 8 0.418677781394
11 2 9 0.429514155673
11 3 1 0.412719965243
11 3 2 0.380551739572
11 3 3 0.383530062988
11 3 4 0.386809355872
11 3 5 0.416316448131
11 3 6 0.380944941459
11 3 7 0.392833677706
11 3 8 0.403474487271
11 3 9 0.390505954427
11 4 1 0.361890989137
11 4 2 0.403633602013
11 4 3 0.391028129482
11 4 4 0.366174862816
11 4 5 0.366673110434
11 4 6 0.374745430735
11 4 7 0.380621518503
11 4 8 0.376570535129
11 4 9 0.372056198232
11 5 1 0.359590526088
11 5 2 0.361424335155
11 5 3 0.340708578854
11 5 4 0.364111085001
11 5 5 0.34914749181
11 5 6 0.338466010067
11 5 7 0.357379810803
11 5 8 0.343801998052
11 5 9 0.346251553043
11 6 1 0.35296550295
11 6 2 0.343513905232
11 6 3 0.326678171699
11 6 4 0.323965282737
11 6 5 0.324012620082
11 6 6 0.326682030714
11 6 7 0.327328955865
11 6 8 0.322312689862
11 6 9 0.321916046967
11 7 1 0.345178746979
11 7 2 0.33124150009
11 7 3 0.328206114582
11 1 1 0.447164578297
11 1 2 0.470087022678
11 1 3 0.471084677673
11 1 4 0.466878121926
11 1 5 0.482097492673
11 1 6 0.517370145368
11 1 7 0.513658196739
11 1 8 0.566186363711
11 1 9 0.524840231307
11 2 1 0.416457278688
11 2 2 0.426233733172
11 2 3 0.440562288362
11 2 4 0.408464278522
11 2 5 0.471389090284
11 2 6 0.4114148572
11 2 7 0.428930928493
11 2 8 0.424781369811
11 2 9 0.438167377199
11 3 1 0.444924746142
11 3 2 0.368373386676
11 3 3 0.383090597358
11 3 4 0.375223140104
11 3 5 0.403887184461
11 3 6 0.434883831595
11 3 7 0.398132223427
11 3 8 0.407077177751
11 3 9 0.41460038188
11 4 1 0.380123332582
11 4 2 0.356465873261
11 4 3 0.399791903404
11 4 4 0.36533475748
11 4 5 0.366347157815
11 4 6 0.360874674123
11 4 7 0.370945494983
11 4 8 0.361840478212
11 4 9 0.385712231083
11 5 1 0.363030227587
11 5 2 0.374384011016
11 5 3 0.366580936634
11 5 4 0.354167539946
11 5 5 0.342291542646
11 5 6 0.340577056525
11 5 7 0.342532793674
11 5 8 0.339304505593
11 5 9 0.344770035216
11 6 1 0.34224740996
11 6 2 0.330606602558
11 6 3 0.323504045395
11 6 4 0.332482444609
11 6 5 0.323522480861
11 6 6 0.326864442747
11 6 7 0.32663071078
11 6 8 0.319278926324
11 6 9 0.322342225834
11 7 1 0.336479157929
11 7 2 0.334572575091
11 7 3 0.329668376127
11 7 4 0.326423557588
11 7 5 0.320658794141
11 7 6 0.32035761496
11 7 7 0.321229851109
11 7 8 0.31710626129
11 7 9 0.320912997475
11 8 1 0.34430467023
11 8 2 0.340107302338
11 8 3 0.326079540596
11 8 4 0.318949606264
11 8 5 0.33866653154
11 8 6 0.325176777746
11 8 7 0.320957057422
11 8 8 0.322063038575
11 8 9 0.326485617163
11 9 1 0.34244898746
11 9 2 0.333108505987
11 9 3 0.312652163367
11 9 4 0.334310540368
11 9 5 0.317625023589
11 9 6 0.312452969017
11 9 7 0.311361388161
11 9 8 0.327065586856
11 9 9 0.321324826051
12 1 1 0.432991929426
12 1 2 0.45020298573
12 1 3 0.48885917005
12 1 4 0.532337673932
12 1 5 0.506099163977
12 1 6 0.526862834659
12 1 7 0.53818773185
12 1 8 0.503581728799
12 1 9 0.525366606347
12 2 1 0.422819320944
12 2 2 0.400883018844
12 2 3 0.409359031051
12 2 4 0.413204295737
12 2 5 0.435834829316
12 2 6 0.427037426663
12 2 7 0.456580267999
12 2 8 0.450954659268
12 2 9 0.421937107045
12 3 1 0.378552381655
12 3 2 0.38177559713
12 3 3 0.385454568899
12 3 4 0.390577926581
12 3 5 0.411370832015
12 3 6 0.392892221742
12 3 7 0.386786249415
12 3 8 0.4033819652
12 3 9 0.406040194781
12 4 1 0.388449048253
12 4 2 0.422690017835
12 4 3 0.369175727842
12 4 4 0.358782411213
